model_name,target_layer,item_id,prompt_id,mode,statement_truth,a,b,correct,incorrect,primary_margin_slope,numeric_correct_margin_slope,assent_margin_slope,verification_correct_margin_slope,candidate_accuracy_slope
gemma2_9b,22,arith_000,arith_000::direct_numeric,direct_numeric,,23,21,44,45,0.33524771712043067,0.33524771712043067,,,5.2927805984958746e-17
gemma2_9b,22,arith_000,arith_000::verification_false,verification_false,False,23,21,44,45,10.839048905806111,,10.839048905806111,-10.839048905806111,-0.6363636363636366
gemma2_9b,22,arith_000,arith_000::verification_true,verification_true,True,23,21,44,45,11.242903731086042,,11.242903731086042,11.242903731086042,0.6363636363636365
gemma2_9b,22,arith_001,arith_001::direct_numeric,direct_numeric,,7,33,40,35,0.593816296620803,0.593816296620803,,,5.2927805984958746e-17
gemma2_9b,22,arith_001,arith_001::verification_false,verification_false,False,7,33,40,35,8.68991908160123,,8.68991908160123,-8.68991908160123,-0.6363636363636366
gemma2_9b,22,arith_001,arith_001::verification_true,verification_true,True,7,33,40,35,10.572435118935326,,10.572435118935326,10.572435118935326,0.6818181818181819
gemma2_9b,22,arith_002,arith_002::direct_numeric,direct_numeric,,6,13,19,22,0.7429654327305887,0.7429654327305887,,,5.2927805984958746e-17
gemma2_9b,22,arith_002,arith_002::verification_false,verification_false,False,6,13,19,22,9.008861455050383,,9.008861455050383,-9.008861455050383,-0.6818181818181818
gemma2_9b,22,arith_002,arith_002::verification_true,verification_true,True,6,13,19,22,3.320269617167387,,3.320269617167387,3.320269617167387,5.2927805984958746e-17
gemma2_9b,22,arith_003,arith_003::direct_numeric,direct_numeric,,47,24,71,63,1.1946214383298694,1.1946214383298694,,,5.2927805984958746e-17
gemma2_9b,22,arith_003,arith_003::verification_false,verification_false,False,47,24,71,63,8.78887421434576,,8.78887421434576,-8.78887421434576,-0.5454545454545457
gemma2_9b,22,arith_003,arith_003::verification_true,verification_true,True,47,24,71,63,4.966900554570286,,4.966900554570286,4.966900554570286,5.2927805984958746e-17
gemma2_9b,22,arith_004,arith_004::direct_numeric,direct_numeric,,16,17,33,30,1.1534222310239615,1.1534222310239615,,,5.2927805984958746e-17
gemma2_9b,22,arith_004,arith_004::verification_false,verification_false,False,16,17,33,30,10.916356195103042,,10.916356195103042,-10.916356195103042,-0.6818181818181818
gemma2_9b,22,arith_004,arith_004::verification_true,verification_true,True,16,17,33,30,3.919655453075063,,3.919655453075063,3.919655453075063,5.2927805984958746e-17
gemma2_9b,22,arith_005,arith_005::direct_numeric,direct_numeric,,37,21,58,55,1.2698922753334032,1.2698922753334032,,,5.2927805984958746e-17
gemma2_9b,22,arith_005,arith_005::verification_false,verification_false,False,37,21,58,55,5.994549859653822,,5.994549859653822,-5.994549859653822,-0.22727272727272732
gemma2_9b,22,arith_005,arith_005::verification_true,verification_true,True,37,21,58,55,5.673585599119015,,5.673585599119015,5.673585599119015,0.22727272727272732
gemma2_9b,22,arith_006,arith_006::direct_numeric,direct_numeric,,30,7,37,46,0.3111068227074373,0.3111068227074373,,,5.2927805984958746e-17
gemma2_9b,22,arith_006,arith_006::verification_false,verification_false,False,30,7,37,46,9.929742943156851,,9.929742943156851,-9.929742943156851,-0.6818181818181818
gemma2_9b,22,arith_006,arith_006::verification_true,verification_true,True,30,7,37,46,3.4686476859179423,,3.4686476859179423,3.4686476859179423,5.2927805984958746e-17
gemma2_9b,22,arith_007,arith_007::direct_numeric,direct_numeric,,35,31,66,70,0.134238140149551,0.134238140149551,,,5.2927805984958746e-17
