model_name,target_layer,item_id,prompt_id,mode,statement_truth,a,b,correct,incorrect,primary_margin_slope,numeric_correct_margin_slope,assent_margin_slope,verification_correct_margin_slope,candidate_accuracy_slope
qwen25_32b,43,arith_000,arith_000::direct_numeric,direct_numeric,,23,21,44,45,-0.7386364449154286,-0.7386364449154286,,,5.2927805984958746e-17
qwen25_32b,43,arith_000,arith_000::verification_false,verification_false,False,23,21,44,45,20.811565317890867,,20.811565317890867,-20.811565317890867,-0.5454545454545455
qwen25_32b,43,arith_000,arith_000::verification_true,verification_true,True,23,21,44,45,23.703566226092256,,23.703566226092256,23.703566226092256,0.6363636363636366
qwen25_32b,43,arith_001,arith_001::direct_numeric,direct_numeric,,7,33,40,35,-0.7954545996405827,-0.7954545996405827,,,5.2927805984958746e-17
qwen25_32b,43,arith_001,arith_001::verification_false,verification_false,False,7,33,40,35,21.47492928938433,,21.47492928938433,-21.47492928938433,-0.5454545454545455
qwen25_32b,43,arith_001,arith_001::verification_true,verification_true,True,7,33,40,35,23.693236876617785,,23.693236876617785,23.693236876617785,0.681818181818182
qwen25_32b,43,arith_002,arith_002::direct_numeric,direct_numeric,,6,13,19,22,-3.034090936183932,-3.034090936183932,,,5.2927805984958746e-17
qwen25_32b,43,arith_002,arith_002::verification_false,verification_false,False,6,13,19,22,22.136424292217605,,22.136424292217605,-22.136424292217605,-0.5454545454545455
qwen25_32b,43,arith_002,arith_002::verification_true,verification_true,True,6,13,19,22,23.084848263046965,,23.084848263046965,23.084848263046965,0.681818181818182
qwen25_32b,43,arith_003,arith_003::direct_numeric,direct_numeric,,47,24,71,63,-2.687009356238627,-2.687009356238627,,,5.2927805984958746e-17
qwen25_32b,43,arith_003,arith_003::verification_false,verification_false,False,47,24,71,63,23.670091856609698,,23.670091856609698,-23.670091856609698,-0.6818181818181818
qwen25_32b,43,arith_003,arith_003::verification_true,verification_true,True,47,24,71,63,24.53368786790155,,24.53368786790155,24.53368786790155,0.681818181818182
qwen25_32b,43,arith_004,arith_004::direct_numeric,direct_numeric,,16,17,33,30,-1.9943181818181845,-1.9943181818181845,,,5.2927805984958746e-17
qwen25_32b,43,arith_004,arith_004::verification_false,verification_false,False,16,17,33,30,19.556357166983872,,19.556357166983872,-19.556357166983872,-0.40909090909090906
qwen25_32b,43,arith_004,arith_004::verification_true,verification_true,True,16,17,33,30,23.52327434583145,,23.52327434583145,23.52327434583145,0.5454545454545455
qwen25_32b,43,arith_005,arith_005::direct_numeric,direct_numeric,,37,21,58,55,-0.31818181818181923,-0.31818181818181923,,,5.2927805984958746e-17
qwen25_32b,43,arith_005,arith_005::verification_false,verification_false,False,37,21,58,55,24.64178036017852,,24.64178036017852,-24.64178036017852,-0.6363636363636364
