model_name,target_layer,item_id,prompt_id,mode,statement_truth,a,b,correct,incorrect,primary_margin_slope,numeric_correct_margin_slope,assent_margin_slope,verification_correct_margin_slope,candidate_accuracy_slope
qwen25_72b,52,arith_000,arith_000::direct_numeric,direct_numeric,,23,21,44,45,-3.187501045790584,-3.187501045790584,,,5.2927805984958746e-17
qwen25_72b,52,arith_000,arith_000::verification_false,verification_false,False,23,21,44,45,22.016579140316363,,22.016579140316363,-22.016579140316363,-0.6363636363636364
qwen25_72b,52,arith_000,arith_000::verification_true,verification_true,True,23,21,44,45,19.33444952964783,,19.33444952964783,19.33444952964783,0.681818181818182
qwen25_72b,52,arith_001,arith_001::direct_numeric,direct_numeric,,7,33,40,35,0.8394814133644114,0.8394814133644114,,,5.2927805984958746e-17
qwen25_72b,52,arith_001,arith_001::verification_false,verification_false,False,7,33,40,35,16.244959013028584,,16.244959013028584,-16.244959013028584,-0.40909090909090906
qwen25_72b,52,arith_001,arith_001::verification_true,verification_true,True,7,33,40,35,16.874682074243374,,16.874682074243374,16.874682074243374,0.6363636363636366
qwen25_72b,52,arith_002,arith_002::direct_numeric,direct_numeric,,6,13,19,22,-1.0099431818181797,-1.0099431818181797,,,5.2927805984958746e-17
qwen25_72b,52,arith_002,arith_002::verification_false,verification_false,False,6,13,19,22,16.649281631816518,,16.649281631816518,-16.649281631816518,-0.40909090909090906
qwen25_72b,52,arith_002,arith_002::verification_true,verification_true,True,6,13,19,22,17.811595548282977,,17.811595548282977,17.811595548282977,0.681818181818182
qwen25_72b,52,arith_003,arith_003::direct_numeric,direct_numeric,,47,24,71,63,-0.3196022998202979,-0.3196022998202979,,,5.2927805984958746e-17
qwen25_72b,52,arith_003,arith_003::verification_false,verification_false,False,47,24,71,63,17.39515458453786,,17.39515458453786,-17.39515458453786,-0.40909090909090906
qwen25_72b,52,arith_003,arith_003::verification_true,verification_true,True,47,24,71,63,18.260702794248413,,18.260702794248413,18.260702794248413,0.681818181818182
qwen25_72b,52,arith_004,arith_004::direct_numeric,direct_numeric,,16,17,33,30,-0.9431823329492068,-0.9431823329492068,,,5.2927805984958746e-17
qwen25_72b,52,arith_004,arith_004::verification_false,verification_false,False,16,17,33,30,18.785151075233124,,18.785151075233124,-18.785151075233124,-0.40909090909090906
qwen25_72b,52,arith_004,arith_004::verification_true,verification_true,True,16,17,33,30,21.977049150250174,,21.977049150250174,21.977049150250174,0.6363636363636366
qwen25_72b,52,arith_005,arith_005::direct_numeric,direct_numeric,,37,21,58,55,-1.9715910445560105,-1.9715910445560105,,,5.2927805984958746e-17
qwen25_72b,52,arith_005,arith_005::verification_false,verification_false,False,37,21,58,55,19.583900906822908,,19.583900906822908,-19.583900906822908,-0.5454545454545455
qwen25_72b,52,arith_005,arith_005::verification_true,verification_true,True,37,21,58,55,19.914425784891307,,19.914425784891307,19.914425784891307,0.681818181818182
qwen25_72b,52,arith_006,arith_006::direct_numeric,direct_numeric,,30,7,37,46,-1.181817986748438,-1.181817986748438,,,5.2927805984958746e-17
qwen25_72b,52,arith_006,arith_006::verification_false,verification_false,False,30,7,37,46,18.095930359580304,,18.095930359580304,-18.095930359580304,-0.5454545454545455
qwen25_72b,52,arith_006,arith_006::verification_true,verification_true,True,30,7,37,46,14.44393842328679,,14.44393842328679,14.44393842328679,0.22727272727272732
qwen25_72b,52,arith_007,arith_007::direct_numeric,direct_numeric,,35,31,66,70,-1.649858220057055,-1.649858220057055,,,5.2927805984958746e-17
qwen25_72b,52,arith_007,arith_007::verification_false,verification_false,False,35,31,66,70,18.90819608081472,,18.90819608081472,-18.90819608081472,-0.5454545454545455
qwen25_72b,52,arith_007,arith_007::verification_true,verification_true,True,35,31,66,70,17.255077427083794,,17.255077427083794,17.255077427083794,0.681818181818182
qwen25_72b,52,arith_008,arith_008::direct_numeric,direct_numeric,,43,39,82,79,-1.0078131989999237,-1.0078131989999237,,,5.2927805984958746e-17
qwen25_72b,52,arith_008,arith_008::verification_false,verification_false,False,43,39,82,79,17.07408786903729,,17.07408786903729,-17.07408786903729,-0.6363636363636364
qwen25_72b,52,arith_008,arith_008::verification_true,verification_true,True,43,39,82,79,21.29030339284378,,21.29030339284378,21.29030339284378,0.681818181818182
qwen25_72b,52,arith_009,arith_009::direct_numeric,direct_numeric,,23,32,55,58,-2.3579547838731227,-2.3579547838731227,,,5.2927805984958746e-17
qwen25_72b,52,arith_009,arith_009::verification_false,verification_false,False,23,32,55,58,21.164570331573486,,21.164570331573486,-21.164570331573486,-0.6363636363636364
qwen25_72b,52,arith_009,arith_009::verification_true,verification_true,True,23,32,55,58,19.550744419748135,,19.550744419748135,19.550744419748135,0.6363636363636366
qwen25_72b,52,arith_010,arith_010::direct_numeric,direct_numeric,,5,43,48,39,0.19460224563424952,0.19460224563424952,,,5.2927805984958746e-17
qwen25_72b,52,arith_010,arith_010::verification_false,verification_false,False,5,43,48,39,15.800422841852363,,15.800422841852363,-15.800422841852363,-0.22727272727272732
qwen25_72b,52,arith_010,arith_010::verification_true,verification_true,True,5,43,48,39,17.179729071530435,,17.179729071530435,17.179729071530435,0.6363636363636366
qwen25_72b,52,arith_011,arith_011::direct_numeric,direct_numeric,,15,33,48,53,-0.8622160445560104,-0.8622160445560104,,,5.2927805984958746e-17
qwen25_72b,52,arith_011,arith_011::verification_false,verification_false,False,15,33,48,53,19.486443692987617,,19.486443692987617,-19.486443692987617,-0.5454545454545455
qwen25_72b,52,arith_011,arith_011::verification_true,verification_true,True,15,33,48,53,20.363814798268415,,20.363814798268415,20.363814798268415,0.681818181818182
