model_name,target_layer,item_id,prompt_id,mode,statement_truth,a,b,correct,incorrect,primary_margin_slope,numeric_correct_margin_slope,assent_margin_slope,verification_correct_margin_slope,candidate_accuracy_slope
qwen25_14b,28,arith_000,arith_000::direct_numeric,direct_numeric,,23,21,44,45,-2.125,-2.125,,,5.2927805984958746e-17
qwen25_14b,28,arith_000,arith_000::verification_false,verification_false,False,23,21,44,45,18.64385737072338,,18.64385737072338,-18.64385737072338,-0.22727272727272732
qwen25_14b,28,arith_000,arith_000::verification_true,verification_true,True,23,21,44,45,25.7045943574472,,25.7045943574472,25.7045943574472,0.6363636363636366
qwen25_14b,28,arith_001,arith_001::direct_numeric,direct_numeric,,7,33,40,35,-16.917476334355094,-16.917476334355094,,,-0.40909090909090906
qwen25_14b,28,arith_001,arith_001::verification_false,verification_false,False,7,33,40,35,23.015374823050074,,23.015374823050074,-23.015374823050074,-0.6363636363636364
qwen25_14b,28,arith_001,arith_001::verification_true,verification_true,True,7,33,40,35,22.870445061813705,,22.870445061813705,22.870445061813705,0.6363636363636366
qwen25_14b,28,arith_002,arith_002::direct_numeric,direct_numeric,,6,13,19,22,-2.7563920454545454,-2.7563920454545454,,,5.2927805984958746e-17
qwen25_14b,28,arith_002,arith_002::verification_false,verification_false,False,6,13,19,22,22.487862987951804,,22.487862987951804,-22.487862987951804,-0.5454545454545455
qwen25_14b,28,arith_002,arith_002::verification_true,verification_true,True,6,13,19,22,26.8748212131587,,26.8748212131587,26.8748212131587,0.6363636363636366
qwen25_14b,28,arith_003,arith_003::direct_numeric,direct_numeric,,47,24,71,63,-1.396306818181819,-1.396306818181819,,,5.2927805984958746e-17
qwen25_14b,28,arith_003,arith_003::verification_false,verification_false,False,47,24,71,63,24.425479428334683,,24.425479428334683,-24.425479428334683,-0.6818181818181818
qwen25_14b,28,arith_003,arith_003::verification_true,verification_true,True,47,24,71,63,23.621084933931186,,23.621084933931186,23.621084933931186,0.6363636363636366
qwen25_14b,28,arith_004,arith_004::direct_numeric,direct_numeric,,16,17,33,30,-1.806818263097246,-1.806818263097246,,,5.2927805984958746e-17
qwen25_14b,28,arith_004,arith_004::verification_false,verification_false,False,16,17,33,30,22.920092279260817,,22.920092279260817,-22.920092279260817,-0.5454545454545455
qwen25_14b,28,arith_004,arith_004::verification_true,verification_true,True,16,17,33,30,24.2273425730792,,24.2273425730792,24.2273425730792,0.5454545454545455
qwen25_14b,28,arith_005,arith_005::direct_numeric,direct_numeric,,37,21,58,55,-2.5284090909090913,-2.5284090909090913,,,5.2927805984958746e-17
qwen25_14b,28,arith_005,arith_005::verification_false,verification_false,False,37,21,58,55,24.17023081129248,,24.17023081129248,-24.17023081129248,-0.6363636363636364
qwen25_14b,28,arith_005,arith_005::verification_true,verification_true,True,37,21,58,55,26.204170866446063,,26.204170866446063,26.204170866446063,0.681818181818182
