"model_name","score_mode","component","pair_class","valence_status","opposition_status","mean_abs_slope","ci_low","ci_high","n_pairs"
"gemma2_9b","first_token","position","neutral_nonopposite","neutral","nonopposite",1.45353373950171,1.3209282973691,1.57736565787603,25
"llama3_8b","first_token","position","neutral_nonopposite","neutral","nonopposite",1.01171324141342,0.825564688898401,1.18305299138575,25
"mistral_7b","first_token","position","neutral_nonopposite","neutral","nonopposite",3.23093479577386,2.80781988313009,3.66305972921969,25
"qwen25_14b","first_token","position","neutral_nonopposite","neutral","nonopposite",3.80961027119421,3.23248920796747,4.40336563361291,25
"qwen25_32b","first_token","position","neutral_nonopposite","neutral","nonopposite",2.90943918724855,2.46513558249755,3.36662727671607,25
"qwen25_3b","first_token","position","neutral_nonopposite","neutral","nonopposite",5.89125141094687,5.51048083918653,6.28582460599438,25
"qwen25_72b","first_token","position","neutral_nonopposite","neutral","nonopposite",3.89757908610435,3.64912288319199,4.1471151349677,25
"qwen25_7b","first_token","position","neutral_nonopposite","neutral","nonopposite",3.79530815177663,3.34374747914528,4.26397027825428,25
"gemma2_9b","sequence","position","neutral_nonopposite","neutral","nonopposite",1.45289901889733,1.31723341122033,1.57972866430554,25
"llama3_8b","sequence","position","neutral_nonopposite","neutral","nonopposite",1.01158369112142,0.826466674124889,1.18514769346256,25
"mistral_7b","sequence","position","neutral_nonopposite","neutral","nonopposite",3.23042109648448,2.82126119051087,3.66066640813447,25
"qwen25_14b","sequence","position","neutral_nonopposite","neutral","nonopposite",3.80844654592763,3.2225309917131,4.41727520110042,25
"qwen25_32b","sequence","position","neutral_nonopposite","neutral","nonopposite",2.90894478506347,2.45570528247674,3.35914115305827,25
"qwen25_3b","sequence","position","neutral_nonopposite","neutral","nonopposite",5.89043602753234,5.50374323132194,6.26272070838123,25
"qwen25_72b","sequence","position","neutral_nonopposite","neutral","nonopposite",3.89597013401006,3.63038725745775,4.1477510303515,25
"qwen25_7b","sequence","position","neutral_nonopposite","neutral","nonopposite",3.79534319065125,3.35709753097542,4.25199780834345,25
"gemma2_9b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",0.467981158731509,0.339260287224621,0.63562050481685,25
"llama3_8b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",0.370777055654742,0.273892773841334,0.471251241311911,25
"mistral_7b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",0.765575518066822,0.523310911073184,1.0169420046383,25
"qwen25_14b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",1.67119187345217,1.1287444660697,2.34878891908475,25
"qwen25_32b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",1.79717989023115,1.27288323791858,2.42061035369265,25
"qwen25_3b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",0.996908032368082,0.682401551577631,1.33793093003851,25
"qwen25_72b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",0.812489748822808,0.560727528356641,1.09034255673403,25
"qwen25_7b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",0.972975340076353,0.693031116712606,1.26176136364788,25
"gemma2_9b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.467875226475429,0.337810448786521,0.631625672740867,25
"llama3_8b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.37072864185112,0.274765678513342,0.471402890447705,25
"mistral_7b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.763994239002829,0.525940295129895,1.03212228537471,25
"qwen25_14b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",1.67137165154125,1.12827233555164,2.32947210701683,25
"qwen25_32b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",1.79602145567603,1.26213317491943,2.41083559878879,25
"qwen25_3b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.996538899159804,0.673781016954898,1.3442252193412,25
"qwen25_72b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.811898281469032,0.563725763248386,1.10856802146171,25
"qwen25_7b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.972227148306747,0.69584939568517,1.26768437923377,25
"gemma2_9b","first_token","position","neutral_opposite","neutral","opposite",1.3456524574502,1.15545725260647,1.52937562385356,24
"llama3_8b","first_token","position","neutral_opposite","neutral","opposite",0.921058287240804,0.788460106967397,1.05514627162021,24
"mistral_7b","first_token","position","neutral_opposite","neutral","opposite",2.07796978513025,1.59888669330762,2.57025382771882,24
"qwen25_14b","first_token","position","neutral_opposite","neutral","opposite",3.04766006789286,2.25691940024311,3.91255405046679,24
"qwen25_32b","first_token","position","neutral_opposite","neutral","opposite",1.13981243788029,0.764291965735298,1.54397046357538,24
"qwen25_3b","first_token","position","neutral_opposite","neutral","opposite",4.19432261007963,3.55579088579706,4.84614559549128,24
"qwen25_72b","first_token","position","neutral_opposite","neutral","opposite",2.88580295848746,2.38292295141164,3.4325535789359,24
"qwen25_7b","first_token","position","neutral_opposite","neutral","opposite",3.29778245573904,2.66125055015906,3.95562829242343,24
"gemma2_9b","sequence","position","neutral_opposite","neutral","opposite",1.3456573275399,1.15174594648035,1.52365335754517,24
"llama3_8b","sequence","position","neutral_opposite","neutral","opposite",0.92104424571524,0.790987682817919,1.05847615696981,24
"mistral_7b","sequence","position","neutral_opposite","neutral","opposite",2.07575343709324,1.59399123024114,2.5458496197335,24
"qwen25_14b","sequence","position","neutral_opposite","neutral","opposite",3.0456047665941,2.26143045750585,3.87774198576943,24
"qwen25_32b","sequence","position","neutral_opposite","neutral","opposite",1.13851745431189,0.763912100068266,1.54115632175337,24
"qwen25_3b","sequence","position","neutral_opposite","neutral","opposite",4.19337127712436,3.54318638953609,4.87106307867078,24
"qwen25_72b","sequence","position","neutral_opposite","neutral","opposite",2.88612343048083,2.38472516785595,3.44330697124681,24
"qwen25_7b","sequence","position","neutral_opposite","neutral","opposite",3.29765892601227,2.64664216113614,3.95895276731985,24
"gemma2_9b","first_token","semantic","neutral_opposite","neutral","opposite",0.671796841465932,0.473324427251878,0.876913482534624,24
